KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate,Target
-1,0,-2,-391,-21,-18,-0.11335578002244673,-38,-39,-0.12038073908174696,0,1,-0.16666666666666669,-45,-44,-0.36076689268178624,18,20,0.017857142857142905,6,6,1.0,-16,-8,-0.20317460317460312,10,13,-0.07666666666666666,-15,-23,0.33333333333333337,0
0,0,0,-18,44,39,0.10500610500610508,40,34,0.0942622950819672,0,-5,0.0,53,60,0.15524296675191823,-13,-28,0.16206896551724137,4,7,-0.23076923076923073,44,37,0.11177332681973617,0,0,0.0,0,2,0.0,1
0,0,-1,236,-53,-71,-0.25510962467484216,-58,-79,-0.11339600470035249,4,5,0.2916666666666667,-30,-49,-0.24084967320261438,-11,-10,-0.19444444444444442,-12,-12,0.0,-37,-49,-0.3425720620842573,-17,-22,-0.06862745098039225,1,0,1.0,0
0,1,0,87,2,6,-0.5714285714285715,1,5,-0.5,1,2,0.5,2,6,0.3333333333333333,0,0,0.0,0,0,0.0,2,6,-0.5714285714285715,0,0,0.0,0,0,0.0,1
0,-1,-1,-270,-42,-62,-0.16714490674318513,-60,-87,-0.2002849002849003,-6,-1,-0.6527777777777778,-23,-41,-0.11313742437337948,-15,-19,-0.15873015873015872,-4,-2,-0.5833333333333334,-34,-52,-0.14863870493009568,-7,-9,-0.08333333333333337,-1,-1,-1.0,0
2,0,0,57,196,366,0.11027568922305764,199,370,0.11227779312885705,0,0,0.0,137,295,0.0730264760115506,48,57,0.30000000000000004,11,14,-0.010526315789473717,178,337,0.10251869342778441,11,19,0.5789473684210527,7,10,0.7,1
-1,1,1,76,-3,2,-0.04394861392832994,-16,-15,-0.06906906906906907,2,11,-0.11904761904761912,1,4,-0.003474903474903479,-2,-1,-0.11818181818181828,-2,-1,-0.33333333333333337,-3,0,-0.03846153846153849,-1,1,-0.261904761904762,1,1,0.0,0
0,2,-1,22,-14,-16,-0.050751879699248104,-13,-18,-0.0312980030721966,3,0,0.75,-20,-28,-0.07947712418300645,3,8,-0.11004784688995217,3,4,-0.125,-20,-31,-0.06362706822829517,9,18,-0.44999999999999996,-3,-3,-1.0,1
0,0,0,-231,-28,-24,-0.3526785714285714,-26,-20,-0.2222222222222222,-3,-6,-0.5,-31,-28,-0.43164983164983173,-1,-1,-1.0,4,5,0.8,-1,12,-0.25625,0,0,0.0,-27,-36,-0.75,0
0,2,0,614,-1,-9,0.19545454545454544,-2,-8,0.10251630941286116,12,16,0.6666666666666666,-1,-8,0.1875,-1,0,-0.5,1,-1,1.0,0,-2,0.08333333333333331,-3,-3,-0.75,2,-4,0.75,1
0,4,0,-120,16,37,0.035345581802274706,28,50,0.07624113475177308,-2,-4,0.0444444444444444,15,41,0.036869909751265695,4,1,0.4285714285714286,-3,-5,0.33333333333333337,14,35,0.024888888888888905,1,1,1.0,1,1,1.0,1
1,0,0,10,4,1,0.13692307692307687,6,3,0.1671428571428571,0,0,0.0,12,18,0.5217391304347826,-2,-7,-0.2857142857142857,-6,-10,0.3076923076923077,-4,-14,0.19636363636363635,0,0,0.0,8,15,0.5333333333333333,1
0,-2,0,-211,-3,-1,-0.380952380952381,-16,-19,-0.1586206896551724,-1,-2,-0.5,-1,0,-0.25,-3,-2,-1.0,1,1,1.0,1,4,-0.16666666666666669,-2,-2,-1.0,-2,-3,-0.6666666666666666,0
0,0,0,-37,-12,-13,-0.631578947368421,-9,-11,-0.18181818181818188,0,0,0.0,-8,-9,-0.5333333333333333,0,0,0.0,-4,-4,-1.0,-5,-1,-0.8333333333333334,0,1,0.0,-7,-13,-0.5384615384615384,0
0,-1,0,-33,-3,-2,-0.46666666666666673,-3,-2,-0.46666666666666673,0,1,0.0,-1,0,-0.3333333333333333,0,0,0.0,-2,-2,-1.0,-3,-2,-0.46666666666666673,0,0,0.0,0,0,0.0,0
