Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
L,Alex Pereira,0,76 of 137,55%,97 of 159,0 of 1,0%,0,0,0:00,11 of 57,17 of 25,48 of 55,69 of 130,7 of 7,0 of 0
W,Magomed Ankalaev,0,94 of 180,52%,127 of 224,0 of 12,0%,0,0,5:42,36 of 112,30 of 39,28 of 29,75 of 159,19 of 21,0 of 0
W,Justin Gaethje,1,72 of 134,53%,98 of 163,0 of 3,0%,0,0,1:32,56 of 117,9 of 9,7 of 8,41 of 92,26 of 34,5 of 8
L,Rafael Fiziev,0,68 of 119,57%,81 of 134,2 of 2,100%,0,0,0:40,20 of 61,43 of 52,5 of 6,49 of 100,14 of 14,5 of 5
L,Jalin Turner,0,7 of 20,35%,11 of 25,0 of 0,---,0,0,1:43,4 of 16,2 of 3,1 of 1,5 of 12,0 of 1,2 of 7
W,Ignacio Bahamondes,0,10 of 16,62%,17 of 23,0 of 1,0%,1,0,0:00,7 of 13,0 of 0,3 of 3,6 of 11,0 of 0,4 of 5
W,Amanda Lemos,0,12 of 21,57%,30 of 42,3 of 5,60%,0,0,7:58,8 of 16,2 of 3,2 of 2,7 of 14,1 of 1,4 of 6
L,Iasmin Lucindo,0,4 of 16,25%,40 of 56,1 of 1,100%,0,0,4:04,2 of 12,2 of 3,0 of 1,1 of 13,2 of 2,1 of 1
L,King Green,0,4 of 15,26%,4 of 15,0 of 0,---,0,0,0:00,1 of 7,1 of 3,2 of 5,4 of 15,0 of 0,0 of 0
W,Mauricio Ruffy,1,4 of 9,44%,4 of 9,0 of 0,---,0,0,0:03,4 of 7,0 of 0,0 of 2,4 of 9,0 of 0,0 of 0
W,Joshua Van,0,59 of 97,60%,127 of 169,0 of 0,---,0,0,0:50,39 of 74,19 of 22,1 of 1,53 of 90,5 of 5,1 of 2
L,Rei Tsuruya,0,32 of 84,38%,47 of 104,4 of 21,19%,0,0,3:49,28 of 78,2 of 4,2 of 2,32 of 83,0 of 1,0 of 0
W,Brunno Ferreira,0,27 of 56,48%,31 of 63,2 of 7,28%,1,0,1:12,14 of 40,9 of 10,4 of 6,25 of 53,2 of 3,0 of 0
L,Armen Petrosyan,0,46 of 83,55%,47 of 84,0 of 0,---,0,0,0:00,19 of 54,7 of 7,20 of 22,46 of 83,0 of 0,0 of 0
L,Alex Morono,0,40 of 95,42%,41 of 96,0 of 1,0%,0,0,0:20,32 of 82,4 of 9,4 of 4,35 of 87,5 of 8,0 of 0
W,Carlos Leal,0,79 of 120,65%,81 of 123,0 of 0,---,0,0,0:03,49 of 89,28 of 29,2 of 2,54 of 91,25 of 29,0 of 0
W,Mairon Santos,0,58 of 129,44%,78 of 154,0 of 1,0%,0,0,0:02,29 of 80,14 of 30,15 of 19,57 of 128,1 of 1,0 of 0
L,Francis Marshall,0,39 of 143,27%,64 of 179,3 of 5,60%,0,0,2:35,32 of 136,1 of 1,6 of 6,39 of 142,0 of 0,0 of 1
L,Djorden Santos,0,131 of 345,37%,134 of 348,1 of 3,33%,0,0,0:26,115 of 323,8 of 14,8 of 8,130 of 342,0 of 1,1 of 2
W,Ozzy Diaz,0,135 of 261,51%,136 of 262,0 of 0,---,0,0,0:00,119 of 240,9 of 13,7 of 8,130 of 255,5 of 6,0 of 0
W,Manel Kape,0,61 of 115,53%,62 of 119,0 of 1,0%,0,0,0:29,47 of 95,11 of 17,3 of 3,46 of 94,9 of 15,6 of 6
L,Asu Almabayev,0,40 of 80,50%,40 of 81,0 of 6,0%,0,0,0:00,19 of 55,13 of 17,8 of 8,38 of 77,2 of 3,0 of 0
W,Cody Brundage,1,44 of 79,55%,68 of 106,0 of 1,0%,0,0,0:48,39 of 71,1 of 2,4 of 6,34 of 65,5 of 8,5 of 6
L,Julian Marquez,0,37 of 73,50%,53 of 96,0 of 0,---,1,0,0:30,31 of 64,5 of 8,1 of 1,24 of 51,13 of 22,0 of 0
W,Nasrat Haqparast,0,135 of 273,49%,135 of 273,1 of 5,20%,0,0,0:49,103 of 233,26 of 34,6 of 6,134 of 272,1 of 1,0 of 0
L,Esteban Ribovics,0,147 of 433,33%,149 of 436,0 of 0,---,0,0,0:00,120 of 395,17 of 27,10 of 11,147 of 433,0 of 0,0 of 0
W,Hyder Amil,0,115 of 202,56%,164 of 262,1 of 6,16%,0,0,2:43,60 of 140,37 of 42,18 of 20,98 of 180,15 of 20,2 of 2
L,William Gomis,0,101 of 187,54%,116 of 205,0 of 3,0%,0,0,1:22,60 of 134,27 of 39,14 of 14,90 of 169,11 of 18,0 of 0
L,Danny Barlow,0,15 of 30,50%,15 of 30,0 of 0,---,0,0,0:00,10 of 23,2 of 3,3 of 4,15 of 30,0 of 0,0 of 0
W,Sam Patterson,1,18 of 34,52%,18 of 34,0 of 0,---,0,0,0:03,14 of 28,4 of 6,0 of 0,15 of 29,0 of 0,3 of 5
L,Austen Lane,1,32 of 63,50%,36 of 75,0 of 1,0%,0,0,0:53,17 of 42,13 of 17,2 of 4,31 of 58,1 of 5,0 of 0
W,Mario Pinto,1,13 of 23,56%,16 of 26,0 of 1,0%,0,0,0:18,8 of 18,2 of 2,3 of 3,12 of 20,1 of 2,0 of 1
L,Ricardo Ramos,0,37 of 91,40%,37 of 91,1 of 4,25%,0,0,0:28,17 of 63,14 of 18,6 of 10,32 of 84,5 of 7,0 of 0
W,Chepe Mariscal,0,85 of 162,52%,125 of 210,2 of 5,40%,0,0,2:35,59 of 122,9 of 14,17 of 26,64 of 132,14 of 19,7 of 11
W,Danny Silva,0,82 of 137,59%,85 of 141,1 of 3,33%,0,0,0:49,45 of 96,14 of 18,23 of 23,81 of 133,0 of 2,1 of 2
L,Lucas Almeida,0,74 of 240,30%,78 of 244,0 of 1,0%,0,0,0:17,49 of 203,14 of 23,11 of 14,73 of 239,1 of 1,0 of 0
L,Andrea Lee,0,53 of 175,30%,66 of 192,1 of 4,25%,1,0,0:46,13 of 109,25 of 44,15 of 22,52 of 174,1 of 1,0 of 0
W,JJ Aldrich,0,74 of 137,54%,77 of 142,2 of 3,66%,0,0,1:20,54 of 114,10 of 13,10 of 10,68 of 130,5 of 6,1 of 1
L,Charles Johnson,0,66 of 156,42%,87 of 183,0 of 3,0%,0,0,1:18,28 of 104,23 of 32,15 of 20,46 of 129,20 of 27,0 of 0
W,Ramazan Temirov,0,55 of 139,39%,59 of 146,1 of 2,50%,0,0,0:23,42 of 117,13 of 22,0 of 0,46 of 118,9 of 19,0 of 2
L,Henry Cejudo,0,67 of 133,50%,67 of 133,0 of 3,0%,0,0,0:00,40 of 100,12 of 18,15 of 15,67 of 132,0 of 1,0 of 0
W,Song Yadong,0,84 of 178,47%,84 of 178,0 of 1,0%,0,0,0:00,46 of 133,14 of 21,24 of 24,82 of 176,2 of 2,0 of 0
L,Brendan Allen,0,14 of 26,53%,53 of 71,0 of 1,0%,1,3,2:58,8 of 19,3 of 3,3 of 4,10 of 22,2 of 2,2 of 2
W,Anthony Hernandez,0,30 of 42,71%,72 of 91,4 of 8,50%,0,2,10:22,30 of 42,0 of 0,0 of 0,12 of 17,0 of 1,18 of 24
W,Rob Font,0,95 of 171,55%,113 of 191,0 of 0,---,1,0,1:18,82 of 157,13 of 14,0 of 0,85 of 157,10 of 14,0 of 0
L,Jean Matsumoto,0,77 of 181,42%,113 of 225,7 of 10,70%,0,0,6:15,43 of 135,9 of 13,25 of 33,69 of 169,8 of 12,0 of 0
W,Jean Silva,1,18 of 27,66%,18 of 27,0 of 0,---,0,0,0:06,11 of 19,7 of 8,0 of 0,11 of 20,0 of 0,7 of 7
L,Melsik Baghdasaryan,0,7 of 25,28%,7 of 25,0 of 0,---,0,0,0:00,5 of 20,0 of 3,2 of 2,7 of 25,0 of 0,0 of 0
W,Alonzo Menifield,0,87 of 147,59%,113 of 179,0 of 1,0%,0,0,0:43,64 of 120,19 of 22,4 of 5,78 of 132,9 of 15,0 of 0
L,Julius Walker,0,86 of 171,50%,114 of 200,1 of 9,11%,0,0,5:31,37 of 112,33 of 43,16 of 16,51 of 124,35 of 47,0 of 0
W,Ion Cutelaba,0,14 of 31,45%,17 of 39,2 of 4,50%,1,0,1:06,10 of 26,2 of 3,2 of 2,10 of 26,1 of 2,3 of 3
L,Ibo Aslan,0,15 of 30,50%,15 of 30,0 of 0,---,0,0,0:00,14 of 28,0 of 1,1 of 1,12 of 27,3 of 3,0 of 0
L,Andre Fili,0,7 of 24,29%,7 of 24,1 of 1,100%,0,0,0:24,4 of 20,3 of 4,0 of 0,7 of 24,0 of 0,0 of 0
W,Melquizael Costa,0,27 of 56,48%,27 of 56,0 of 1,0%,1,0,0:00,3 of 25,10 of 13,14 of 18,26 of 55,1 of 1,0 of 0
W,Mansur Abdul-Malik,0,29 of 54,53%,32 of 58,1 of 3,33%,0,0,0:35,28 of 53,1 of 1,0 of 0,6 of 20,12 of 19,11 of 15
L,Nick Klein,0,28 of 46,60%,50 of 70,1 of 9,11%,0,0,3:01,5 of 18,2 of 5,21 of 23,26 of 43,2 of 3,0 of 0
W,Ricky Simon,1,11 of 21,52%,18 of 29,1 of 3,33%,0,0,1:16,9 of 19,1 of 1,1 of 1,9 of 18,1 of 2,1 of 1
L,Javid Basharat,0,20 of 36,55%,21 of 38,0 of 0,---,0,0,0:01,12 of 27,7 of 7,1 of 2,20 of 36,0 of 0,0 of 0
L,Nikolay Veretennikov,0,5 of 19,26%,21 of 36,0 of 0,---,0,0,0:00,0 of 12,3 of 5,2 of 2,5 of 19,0 of 0,0 of 0
W,Austin Vanderford,0,39 of 52,75%,102 of 121,2 of 4,50%,1,0,7:21,37 of 50,1 of 1,1 of 1,3 of 8,0 of 0,36 of 44
W,Nursulton Ruziboev,2,20 of 42,47%,24 of 46,0 of 0,---,0,0,0:36,15 of 35,4 of 6,1 of 1,13 of 30,6 of 11,1 of 1
L,Eric McConico,0,5 of 13,38%,6 of 16,0 of 0,---,0,0,0:00,1 of 5,1 of 3,3 of 5,5 of 13,0 of 0,0 of 0
W,Modestas Bukauskas,1,16 of 41,39%,16 of 41,0 of 0,---,0,0,0:02,11 of 36,3 of 3,2 of 2,16 of 40,0 of 0,0 of 1
L,Rafael Cerqueira,0,9 of 22,40%,9 of 22,0 of 0,---,0,0,0:00,4 of 16,0 of 1,5 of 5,9 of 22,0 of 0,0 of 0
W,Jared Cannonier,2,98 of 201,48%,109 of 215,1 of 3,33%,0,0,2:09,59 of 157,20 of 23,19 of 21,69 of 161,20 of 25,9 of 15
L,Gregory Rodrigues,2,93 of 221,42%,95 of 225,0 of 3,0%,0,0,0:17,65 of 188,21 of 25,7 of 8,85 of 208,8 of 12,0 of 1
L,Calvin Kattar,0,38 of 134,28%,38 of 134,0 of 0,---,0,0,0:00,27 of 110,5 of 11,6 of 13,35 of 128,3 of 6,0 of 0
W,Youssef Zalal,0,74 of 133,55%,75 of 134,0 of 8,0%,0,0,0:00,53 of 104,5 of 9,16 of 20,74 of 133,0 of 0,0 of 0
W,Edmen Shahbazyan,1,7 of 15,46%,7 of 15,0 of 0,---,0,0,0:03,5 of 13,2 of 2,0 of 0,6 of 12,0 of 0,1 of 3
L,Dylan Budka,0,1 of 16,6%,1 of 16,0 of 0,---,0,0,0:00,1 of 12,0 of 4,0 of 0,1 of 16,0 of 0,0 of 0
L,Ismael Bonfim,0,26 of 42,61%,26 of 43,0 of 0,---,0,0,0:00,14 of 29,5 of 5,7 of 8,24 of 39,2 of 3,0 of 0
W,Nazim Sadykhov,0,13 of 46,28%,14 of 49,0 of 0,---,0,0,0:35,9 of 35,2 of 7,2 of 4,12 of 44,1 of 2,0 of 0
L,Rodolfo Vieira,0,58 of 99,58%,60 of 101,1 of 11,9%,0,0,1:50,31 of 66,6 of 8,21 of 25,53 of 93,5 of 6,0 of 0
W,Andre Petroski,0,55 of 111,49%,58 of 114,0 of 2,0%,0,0,0:05,26 of 72,7 of 13,22 of 26,54 of 109,0 of 0,1 of 2
L,Connor Matthews,0,6 of 23,26%,9 of 31,2 of 3,66%,0,0,0:47,6 of 20,0 of 3,0 of 0,6 of 23,0 of 0,0 of 0
W,Jose Delgado,1,21 of 40,52%,22 of 42,0 of 0,---,0,0,0:08,14 of 29,6 of 7,1 of 4,14 of 30,0 of 0,7 of 10
W,Angela Hill,0,86 of 158,54%,103 of 176,2 of 6,33%,0,0,4:31,40 of 96,40 of 55,6 of 7,63 of 131,16 of 19,7 of 8
L,Ketlen Souza,0,70 of 138,50%,77 of 146,0 of 2,0%,0,0,0:03,41 of 101,19 of 23,10 of 14,61 of 128,9 of 10,0 of 0
W,Rafael Estevam,0,11 of 30,36%,60 of 96,11 of 19,57%,0,0,9:22,6 of 20,5 of 10,0 of 0,9 of 28,1 of 1,1 of 1
L,Jesus Aguilar,0,35 of 87,40%,41 of 95,2 of 5,40%,2,0,1:14,26 of 75,4 of 5,5 of 7,31 of 76,3 of 10,1 of 1
W,Gabriel Bonfim,0,35 of 72,48%,35 of 72,4 of 5,80%,2,0,1:42,20 of 50,0 of 5,15 of 17,35 of 71,0 of 1,0 of 0
L,Khaos Williams,0,20 of 90,22%,23 of 94,0 of 0,---,0,0,0:23,8 of 54,2 of 13,10 of 23,20 of 90,0 of 0,0 of 0
L,Vince Morales,0,40 of 86,46%,42 of 90,2 of 4,50%,3,2,3:07,30 of 74,8 of 10,2 of 2,36 of 81,4 of 5,0 of 0
W,Elijah Smith,0,40 of 97,41%,52 of 110,3 of 4,75%,1,2,2:53,29 of 81,2 of 3,9 of 13,37 of 94,3 of 3,0 of 0
L,Don'Tale Mayes,0,1 of 2,50%,3 of 4,0 of 0,---,0,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
W,Valter Walker,0,1 of 3,33%,5 of 9,1 of 2,50%,1,0,0:58,0 of 2,0 of 0,1 of 1,1 of 3,0 of 0,0 of 0
L,Julia Avila,0,54 of 138,39%,57 of 145,1 of 2,50%,0,0,1:39,17 of 86,9 of 18,28 of 34,51 of 134,3 of 4,0 of 0
W,Jacqueline Cavalcanti,0,73 of 199,36%,75 of 201,0 of 1,0%,0,0,0:00,54 of 176,11 of 13,8 of 10,73 of 198,0 of 1,0 of 0
W,Dricus Du Plessis,0,147 of 314,46%,149 of 316,1 of 2,50%,0,0,0:05,50 of 193,45 of 59,52 of 62,147 of 314,0 of 0,0 of 0
L,Sean Strickland,0,128 of 263,48%,128 of 263,0 of 0,---,0,0,0:00,90 of 212,29 of 41,9 of 10,128 of 263,0 of 0,0 of 0
W,Zhang Weili,0,53 of 87,60%,232 of 299,1 of 3,33%,1,0,10:54,32 of 56,16 of 21,5 of 10,29 of 62,11 of 11,13 of 14
L,Tatiana Suarez,0,12 of 36,33%,63 of 95,1 of 15,6%,0,0,5:56,1 of 16,2 of 6,9 of 14,10 of 33,2 of 3,0 of 0
L,Justin Tafa,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
W,Tallison Teixeira,1,8 of 9,88%,9 of 10,0 of 1,0%,0,0,0:11,5 of 6,3 of 3,0 of 0,1 of 2,3 of 3,4 of 4
D,Jimmy Crute,1,106 of 209,50%,139 of 247,0 of 3,0%,0,0,3:52,93 of 190,8 of 10,5 of 9,77 of 170,11 of 13,18 of 26
D,Rodolfo Bellato,0,89 of 141,63%,95 of 148,1 of 2,50%,0,0,0:29,36 of 76,24 of 29,29 of 36,85 of 136,4 of 5,0 of 0
W,Jake Matthews,0,68 of 184,36%,95 of 215,0 of 0,---,0,0,0:40,39 of 146,24 of 33,5 of 5,56 of 169,12 of 15,0 of 0
L,Francisco Prado,0,59 of 146,40%,64 of 152,1 of 6,16%,0,0,2:16,17 of 92,19 of 28,23 of 26,47 of 132,11 of 13,1 of 1
L,Jack Jenkins,1,34 of 48,70%,39 of 55,0 of 1,0%,0,0,2:20,22 of 35,5 of 6,7 of 7,13 of 22,5 of 6,16 of 20
W,Gabriel Santos,0,39 of 61,63%,96 of 123,4 of 7,57%,2,0,6:19,26 of 44,6 of 9,7 of 8,23 of 45,3 of 3,13 of 13
W,Tom Nolan,0,69 of 175,39%,111 of 236,1 of 8,12%,3,0,2:01,43 of 130,11 of 23,15 of 22,63 of 163,5 of 11,1 of 1
L,Viacheslav Borshchev,0,66 of 118,55%,92 of 163,0 of 0,---,1,0,3:11,20 of 67,26 of 31,20 of 20,61 of 106,1 of 4,4 of 8
W,Wang Cong,0,103 of 181,56%,104 of 182,2 of 2,100%,0,0,0:03,38 of 99,21 of 32,44 of 50,102 of 177,0 of 1,1 of 3
L,Bruna Brasil,0,31 of 64,48%,31 of 64,0 of 1,0%,0,0,0:00,11 of 30,12 of 19,8 of 15,30 of 63,1 of 1,0 of 0
L,Colby Thicknesse,0,38 of 127,29%,40 of 131,0 of 8,0%,0,0,0:00,18 of 91,12 of 27,8 of 9,35 of 122,3 of 5,0 of 0
W,Aleksandre Topuria,0,41 of 79,51%,65 of 110,1 of 2,50%,0,0,5:02,18 of 53,19 of 22,4 of 4,35 of 70,5 of 7,1 of 2
W,Rongzhu,1,125 of 241,51%,126 of 243,0 of 0,---,0,1,0:18,108 of 220,4 of 8,13 of 13,125 of 241,0 of 0,0 of 0
L,Kody Steele,0,59 of 209,28%,59 of 209,1 of 4,25%,0,0,0:06,47 of 194,10 of 11,2 of 4,58 of 205,1 of 4,0 of 0
W,Jonathan Micallef,1,85 of 192,44%,89 of 197,0 of 0,---,0,0,0:09,52 of 151,28 of 34,5 of 7,83 of 190,2 of 2,0 of 0
L,Kevin Jousset,0,67 of 168,39%,71 of 173,0 of 0,---,0,0,0:00,32 of 112,17 of 34,18 of 22,66 of 166,1 of 2,0 of 0
W,Quillan Salkilld,1,6 of 7,85%,6 of 7,0 of 0,---,0,0,0:01,2 of 3,1 of 1,3 of 3,5 of 6,0 of 0,1 of 1
L,Anshul Jubli,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
L,Israel Adesanya,0,26 of 50,52%,32 of 56,0 of 1,0%,0,0,0:00,9 of 28,6 of 8,11 of 14,26 of 50,0 of 0,0 of 0
W,Nassourdine Imavov,1,15 of 31,48%,18 of 34,0 of 3,0%,0,0,0:44,9 of 21,0 of 3,6 of 7,10 of 25,0 of 0,5 of 6
L,Shara Magomedov,0,38 of 87,43%,50 of 102,0 of 0,---,0,0,0:40,8 of 42,17 of 20,13 of 25,34 of 82,4 of 5,0 of 0
W,Michael Page,0,43 of 75,57%,47 of 81,0 of 1,0%,0,0,0:50,23 of 53,11 of 12,9 of 10,38 of 69,5 of 6,0 of 0
W,Sergei Pavlovich,0,25 of 60,41%,145 of 208,2 of 2,100%,0,0,6:17,21 of 55,2 of 3,2 of 2,25 of 60,0 of 0,0 of 0
L,Jairzinho Rozenstruik,0,17 of 55,30%,23 of 63,0 of 0,---,0,0,0:00,7 of 43,3 of 3,7 of 9,17 of 55,0 of 0,0 of 0
L,Said Nurmagomedov,0,38 of 79,48%,69 of 111,1 of 9,11%,0,0,0:58,18 of 54,13 of 17,7 of 8,37 of 76,1 of 3,0 of 0
W,Vinicius Oliveira,0,43 of 94,45%,68 of 125,3 of 5,60%,1,0,7:12,24 of 63,11 of 18,8 of 13,31 of 74,2 of 5,10 of 15
W,Fares Ziam,0,35 of 56,62%,58 of 83,4 of 7,57%,0,2,7:11,29 of 50,5 of 5,1 of 1,20 of 33,5 of 6,10 of 17
L,Mike Davis,0,20 of 35,57%,30 of 49,1 of 8,12%,1,3,3:59,13 of 26,5 of 6,2 of 3,13 of 24,2 of 2,5 of 9
W,Muhammad Naimov,0,32 of 92,34%,79 of 176,2 of 2,100%,0,0,5:36,23 of 79,8 of 12,1 of 1,22 of 73,6 of 6,4 of 13
L,Kaan Ofli,0,31 of 66,46%,57 of 97,0 of 6,0%,0,0,3:35,5 of 30,16 of 21,10 of 15,14 of 44,17 of 22,0 of 0
W,Shamil Gaziev,1,14 of 32,43%,14 of 32,0 of 0,---,0,0,0:01,9 of 27,5 of 5,0 of 0,13 of 30,1 of 2,0 of 0
L,Thomas Petersen,0,19 of 34,55%,19 of 35,1 of 1,100%,0,0,0:08,4 of 18,7 of 8,8 of 8,18 of 31,1 of 3,0 of 0
W,Terrance McKinney,0,54 of 69,78%,69 of 90,0 of 0,---,1,1,1:00,53 of 67,1 of 2,0 of 0,8 of 18,0 of 0,46 of 51
L,Damir Hadzovic,0,4 of 13,30%,4 of 13,1 of 2,50%,0,0,0:08,3 of 9,0 of 3,1 of 1,4 of 13,0 of 0,0 of 0
W,Jasmine Jasudavicius,0,56 of 105,53%,164 of 229,3 of 5,60%,0,0,7:11,23 of 66,20 of 26,13 of 13,48 of 94,8 of 10,0 of 1
L,Mayra Bueno Silva,0,37 of 72,51%,41 of 76,0 of 0,---,1,0,0:00,23 of 53,8 of 12,6 of 7,30 of 64,7 of 8,0 of 0
W,Bogdan Grad,0,46 of 66,69%,59 of 86,3 of 8,37%,0,0,4:18,42 of 60,1 of 2,3 of 4,9 of 18,3 of 4,34 of 44
L,Lucas Alexander,0,34 of 52,65%,47 of 71,0 of 1,0%,0,1,2:13,19 of 37,7 of 7,8 of 8,29 of 45,3 of 4,2 of 3
W,Hamdy Abdelwahab,0,44 of 87,50%,52 of 103,1 of 1,100%,0,0,0:57,25 of 65,3 of 4,16 of 18,40 of 81,0 of 0,4 of 6
L,Jamal Pogues,0,69 of 123,56%,69 of 123,0 of 1,0%,0,0,0:00,43 of 94,0 of 0,26 of 29,68 of 122,1 of 1,0 of 0
W,Islam Makhachev,0,6 of 19,31%,18 of 31,1 of 2,50%,1,0,1:27,5 of 17,1 of 2,0 of 0,5 of 18,0 of 0,1 of 1
L,Renato Moicano,0,9 of 27,33%,18 of 37,0 of 0,---,0,0,0:00,2 of 18,3 of 5,4 of 4,9 of 27,0 of 0,0 of 0
W,Merab Dvalishvili,0,111 of 259,42%,142 of 293,7 of 30,23%,0,0,2:22,71 of 207,30 of 37,10 of 15,88 of 219,22 of 37,1 of 3
L,Umar Nurmagomedov,0,104 of 237,43%,113 of 246,2 of 15,13%,0,0,1:37,76 of 199,22 of 30,6 of 8,92 of 219,12 of 18,0 of 0
W,Jiri Prochazka,2,97 of 165,58%,101 of 170,0 of 0,---,0,0,0:22,73 of 132,19 of 23,5 of 10,71 of 129,10 of 13,16 of 23
L,Jamahal Hill,0,81 of 177,45%,84 of 180,0 of 0,---,0,0,0:00,55 of 145,24 of 29,2 of 3,68 of 158,13 of 19,0 of 0
W,Jailton Almeida,0,23 of 31,74%,36 of 49,1 of 1,100%,0,1,1:48,20 of 27,1 of 2,2 of 2,7 of 12,4 of 6,12 of 13
L,Serghei Spivac,0,15 of 28,53%,34 of 47,1 of 1,100%,0,1,2:08,14 of 27,1 of 1,0 of 0,2 of 7,0 of 0,13 of 21
L,Kevin Holland,0,11 of 13,84%,27 of 32,0 of 0,---,0,0,0:00,10 of 12,1 of 1,0 of 0,1 of 2,1 of 1,9 of 10
W,Reinier de Ridder,0,12 of 21,57%,26 of 35,2 of 2,100%,1,0,3:25,11 of 20,1 of 1,0 of 0,0 of 0,0 of 0,12 of 21
L,Payton Talbott,0,49 of 84,58%,59 of 95,1 of 1,100%,0,0,1:25,39 of 74,7 of 7,3 of 3,37 of 67,7 of 10,5 of 7
W,Raoni Barcelos,0,62 of 85,72%,91 of 115,8 of 15,53%,2,0,9:43,59 of 81,2 of 3,1 of 1,18 of 30,5 of 5,39 of 50
L,Zach Reese,0,13 of 24,54%,22 of 35,0 of 0,---,0,0,0:00,13 of 22,0 of 2,0 of 0,1 of 7,1 of 1,11 of 16
W,Azamat Bekoev,0,21 of 26,80%,52 of 59,1 of 2,50%,0,0,2:14,16 of 19,3 of 4,2 of 3,3 of 6,0 of 0,18 of 20
W,Bogdan Guskov,0,47 of 71,66%,59 of 85,0 of 0,---,2,1,1:24,39 of 63,5 of 5,3 of 3,19 of 34,11 of 11,17 of 26
L,Billy Elekana,0,20 of 28,71%,28 of 37,1 of 1,100%,0,0,3:40,18 of 25,2 of 3,0 of 0,13 of 21,0 of 0,7 of 7
W,Grant Dawson,0,56 of 98,57%,195 of 269,6 of 11,54%,0,0,10:50,51 of 91,3 of 5,2 of 2,19 of 47,7 of 8,30 of 43
L,Diego Ferreira,0,41 of 61,67%,84 of 113,0 of 0,---,0,0,0:20,31 of 48,6 of 9,4 of 4,31 of 51,6 of 6,4 of 4
L,Karol Rosa,0,53 of 112,47%,120 of 182,0 of 0,---,0,0,0:00,20 of 67,6 of 11,27 of 34,49 of 105,2 of 5,2 of 2
W,Ailin Perez,0,62 of 131,47%,81 of 155,2 of 8,25%,0,0,4:15,28 of 87,11 of 17,23 of 27,56 of 121,2 of 3,4 of 7
L,Rinya Nakamura,0,31 of 73,42%,39 of 82,0 of 1,0%,1,0,1:41,10 of 44,8 of 9,13 of 20,28 of 70,3 of 3,0 of 0
W,Muin Gafurov,1,37 of 90,41%,73 of 130,0 of 1,0%,0,0,2:37,20 of 65,9 of 12,8 of 13,32 of 76,4 of 7,1 of 7
L,Ricky Turcios,0,78 of 144,54%,113 of 187,1 of 9,11%,0,0,1:56,30 of 86,24 of 32,24 of 26,60 of 120,18 of 22,0 of 2
W,Benardo Sopaj,1,81 of 139,58%,97 of 155,2 of 3,66%,0,0,2:30,64 of 117,8 of 11,9 of 11,48 of 99,16 of 20,17 of 20
W,Tagir Ulanbekov,0,42 of 75,56%,100 of 138,3 of 6,50%,0,0,6:49,35 of 68,5 of 5,2 of 2,27 of 55,2 of 2,13 of 18
L,Clayton Carpenter,0,42 of 69,60%,86 of 117,1 of 4,25%,0,0,3:01,20 of 40,9 of 14,13 of 15,25 of 50,5 of 6,12 of 13
W,Mackenzie Dern,0,27 of 46,58%,82 of 107,1 of 3,33%,1,2,4:34,13 of 27,3 of 8,11 of 11,18 of 34,1 of 3,8 of 9
L,Amanda Ribas,0,17 of 56,30%,99 of 151,2 of 2,100%,0,0,5:47,10 of 44,1 of 4,6 of 8,14 of 51,0 of 0,3 of 5
W,Santiago Ponzinibbio,1,76 of 175,43%,76 of 175,0 of 0,---,0,0,0:38,57 of 151,8 of 11,11 of 13,72 of 165,0 of 0,4 of 10
L,Carlston Harris,1,73 of 196,37%,78 of 211,0 of 5,0%,0,0,0:17,40 of 142,19 of 39,14 of 15,73 of 195,0 of 0,0 of 1
W,Cesar Almeida,1,20 of 29,68%,21 of 30,0 of 0,---,0,0,0:03,3 of 9,9 of 11,8 of 9,16 of 25,4 of 4,0 of 0
L,Abdul Razak Alhassan,1,17 of 33,51%,19 of 35,0 of 2,0%,0,0,1:31,13 of 29,4 of 4,0 of 0,9 of 21,4 of 5,4 of 7
L,Chris Curtis,0,142 of 261,54%,146 of 265,0 of 0,---,0,0,0:00,107 of 204,30 of 52,5 of 5,142 of 261,0 of 0,0 of 0
W,Roman Kopylov,1,130 of 307,42%,133 of 310,1 of 6,16%,0,0,0:49,91 of 266,14 of 16,25 of 25,124 of 300,4 of 5,2 of 2
W,Christian Rodriguez,0,44 of 82,53%,55 of 93,2 of 4,50%,2,2,3:20,32 of 68,12 of 14,0 of 0,32 of 66,8 of 12,4 of 4
L,Austin Bashi,0,23 of 50,46%,32 of 60,3 of 18,16%,0,0,5:41,12 of 34,9 of 11,2 of 5,17 of 43,5 of 6,1 of 1
W,Punahele Soriano,1,13 of 17,76%,13 of 17,0 of 0,---,0,0,0:04,12 of 16,0 of 0,1 of 1,5 of 8,0 of 0,8 of 9
