Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
L,Matheus Nicolau,0,22 of 55,40%,22 of 55,0 of 0,---,0,0,0:00,13 of 44,4 of 5,5 of 6,22 of 55,0 of 0,0 of 0
W,Alex Perez,1,28 of 71,39%,28 of 71,0 of 0,---,0,0,0:02,11 of 50,8 of 11,9 of 10,28 of 71,0 of 0,0 of 0
L,Ryan Spann,0,15 of 38,39%,20 of 44,1 of 3,33%,1,0,3:29,10 of 30,3 of 6,2 of 2,11 of 34,2 of 2,2 of 2
W,Bogdan Guskov,1,31 of 48,64%,49 of 67,0 of 0,---,0,0,0:20,30 of 47,0 of 0,1 of 1,17 of 31,0 of 0,14 of 17
L,Ariane da Silva,0,42 of 81,51%,89 of 153,0 of 0,---,0,0,2:06,12 of 37,22 of 29,8 of 15,31 of 66,8 of 11,3 of 4
W,Karine Silva,0,27 of 75,36%,53 of 120,5 of 6,83%,0,0,7:32,8 of 29,9 of 32,10 of 14,21 of 65,2 of 4,4 of 6
L,Austen Lane,0,17 of 37,45%,43 of 73,1 of 4,25%,0,0,4:29,15 of 34,2 of 3,0 of 0,11 of 25,0 of 0,6 of 12
W,Jhonata Diniz,1,20 of 33,60%,31 of 45,0 of 0,---,0,0,0:32,15 of 28,4 of 4,1 of 1,16 of 25,4 of 8,0 of 0
L,Jonathan Pearce,0,57 of 129,44%,87 of 165,5 of 14,35%,1,1,4:49,37 of 102,13 of 19,7 of 8,44 of 114,1 of 1,12 of 14
W,David Onama,0,58 of 104,55%,66 of 115,0 of 1,0%,1,5,2:15,50 of 94,6 of 8,2 of 2,54 of 99,4 of 5,0 of 0
L,Tim Means,0,7 of 17,41%,10 of 21,0 of 3,0%,0,0,1:18,1 of 10,5 of 6,1 of 1,5 of 14,2 of 3,0 of 0
W,Uros Medic,1,7 of 12,58%,11 of 16,0 of 1,0%,0,0,0:04,5 of 10,1 of 1,1 of 1,5 of 9,1 of 2,1 of 1
L,Rani Yahya,0,54 of 109,49%,56 of 111,0 of 10,0%,0,0,0:48,28 of 76,6 of 9,20 of 24,51 of 105,3 of 4,0 of 0
W,Victor Henry,2,109 of 205,53%,150 of 260,0 of 2,0%,0,0,3:09,84 of 176,21 of 24,4 of 5,89 of 173,2 of 5,18 of 27
W,Austin Hubbard,0,88 of 206,42%,99 of 220,3 of 7,42%,0,0,0:48,55 of 162,22 of 29,11 of 15,85 of 203,3 of 3,0 of 0
L,Michal Figlak,0,92 of 210,43%,100 of 218,0 of 3,0%,0,0,1:37,60 of 173,16 of 19,16 of 18,88 of 204,4 of 6,0 of 0
W,Don'Tale Mayes,1,67 of 183,36%,73 of 190,0 of 0,---,0,0,0:36,42 of 140,18 of 29,7 of 14,67 of 181,0 of 1,0 of 1
L,Caio Machado,0,76 of 159,47%,77 of 160,0 of 0,---,0,0,0:00,33 of 103,25 of 33,18 of 23,75 of 158,1 of 1,0 of 0
L,Marnic Mann,0,31 of 77,40%,111 of 159,2 of 5,40%,1,1,2:54,8 of 39,5 of 10,18 of 28,28 of 73,2 of 2,1 of 2
W,Ketlen Souza,0,80 of 116,68%,93 of 132,1 of 2,50%,0,1,3:11,38 of 69,28 of 33,14 of 14,71 of 105,7 of 9,2 of 2
L,James Llontop,0,19 of 40,47%,19 of 40,0 of 0,---,0,0,0:00,7 of 25,2 of 4,10 of 11,19 of 40,0 of 0,0 of 0
W,Chris Padilla,0,12 of 26,46%,14 of 29,3 of 3,100%,1,0,1:20,6 of 18,1 of 3,5 of 5,9 of 23,2 of 2,1 of 1
W,Ivana Petrovic,0,36 of 73,49%,101 of 150,3 of 4,75%,1,1,5:37,28 of 63,8 of 10,0 of 0,8 of 33,2 of 4,26 of 36
L,Liang Na,0,24 of 52,46%,49 of 89,1 of 2,50%,0,1,2:51,8 of 34,10 of 11,6 of 7,23 of 48,1 of 4,0 of 0
L,Gabriel Benitez,0,121 of 295,41%,121 of 296,0 of 0,---,0,0,0:00,81 of 247,13 of 21,27 of 27,120 of 291,1 of 4,0 of 0
W,Maheshate,0,97 of 312,31%,97 of 312,0 of 0,---,0,0,0:03,67 of 261,26 of 47,4 of 4,93 of 304,4 of 8,0 of 0
W,Alex Pereira,1,24 of 30,80%,24 of 30,0 of 0,---,0,0,0:07,12 of 15,6 of 6,6 of 9,13 of 16,0 of 0,11 of 14
L,Jamahal Hill,0,12 of 22,54%,12 of 22,0 of 0,---,0,0,0:00,1 of 7,3 of 6,8 of 9,12 of 22,0 of 0,0 of 0
W,Zhang Weili,0,106 of 157,67%,256 of 327,6 of 9,66%,2,0,12:44,84 of 119,13 of 19,9 of 19,34 of 78,4 of 4,68 of 75
L,Yan Xiaonan,1,43 of 85,50%,73 of 116,3 of 3,100%,0,1,2:20,21 of 60,4 of 6,18 of 19,24 of 64,3 of 4,16 of 17
L,Justin Gaethje,0,103 of 199,51%,103 of 199,0 of 0,---,0,0,0:00,44 of 121,26 of 42,33 of 36,103 of 199,0 of 0,0 of 0
W,Max Holloway,1,181 of 309,58%,181 of 309,0 of 0,---,0,0,0:00,62 of 149,62 of 91,57 of 69,181 of 308,0 of 1,0 of 0
L,Charles Oliveira,0,19 of 37,51%,33 of 53,0 of 0,---,4,1,2:32,11 of 22,5 of 9,3 of 6,7 of 24,6 of 6,6 of 7
W,Arman Tsarukyan,0,49 of 83,59%,75 of 117,2 of 4,50%,0,1,8:41,37 of 69,10 of 11,2 of 3,23 of 50,3 of 4,23 of 29
W,Bo Nickal,0,8 of 13,61%,45 of 59,3 of 6,50%,2,0,7:25,6 of 11,2 of 2,0 of 0,3 of 5,0 of 0,5 of 8
L,Cody Brundage,0,4 of 12,33%,33 of 41,0 of 0,---,0,0,0:03,1 of 9,3 of 3,0 of 0,2 of 10,2 of 2,0 of 0
W,Jiri Prochazka,0,69 of 118,58%,69 of 118,1 of 1,100%,0,0,0:38,56 of 101,5 of 9,8 of 8,45 of 87,7 of 7,17 of 24
L,Aleksandar Rakic,0,58 of 109,53%,58 of 109,0 of 0,---,0,0,0:00,34 of 77,1 of 2,23 of 30,56 of 107,2 of 2,0 of 0
L,Calvin Kattar,0,8 of 29,27%,19 of 40,0 of 0,---,0,0,0:05,7 of 26,1 of 3,0 of 0,7 of 26,1 of 2,0 of 1
W,Aljamain Sterling,0,39 of 71,54%,89 of 128,8 of 13,61%,0,0,10:43,12 of 40,15 of 17,12 of 14,23 of 46,5 of 5,11 of 20
L,Holly Holm,0,2 of 12,16%,7 of 17,0 of 1,0%,0,0,0:15,1 of 9,1 of 3,0 of 0,1 of 10,0 of 0,1 of 2
W,Kayla Harrison,0,51 of 71,71%,68 of 91,2 of 5,40%,1,0,4:51,46 of 66,4 of 4,1 of 1,6 of 15,3 of 3,42 of 53
L,Sodiq Yusuff,0,2 of 5,40%,2 of 5,0 of 0,---,0,0,0:00,1 of 1,0 of 0,1 of 4,2 of 5,0 of 0,0 of 0
W,Diego Lopes,2,26 of 32,81%,29 of 35,0 of 0,---,0,0,0:34,21 of 27,2 of 2,3 of 3,3 of 4,5 of 7,18 of 21
L,Jalin Turner,1,16 of 40,40%,16 of 40,0 of 0,---,0,0,0:02,10 of 32,3 of 5,3 of 3,15 of 39,1 of 1,0 of 0
W,Renato Moicano,0,36 of 67,53%,87 of 128,2 of 6,33%,0,0,5:50,32 of 60,3 of 5,1 of 2,11 of 23,1 of 1,24 of 43
W,Jessica Andrade,0,89 of 180,49%,124 of 220,1 of 1,100%,0,0,3:53,35 of 110,14 of 18,40 of 52,79 of 165,7 of 11,3 of 4
L,Marina Rodriguez,0,82 of 228,35%,94 of 241,0 of 0,---,1,0,0:00,70 of 207,9 of 17,3 of 4,77 of 220,5 of 6,0 of 2
W,King Green,1,186 of 319,58%,187 of 320,1 of 1,100%,0,0,0:54,136 of 245,40 of 56,10 of 18,167 of 295,7 of 8,12 of 16
L,Jim Miller,0,57 of 144,39%,58 of 145,0 of 0,---,0,0,0:01,29 of 103,10 of 18,18 of 23,55 of 141,2 of 3,0 of 0
W,Deiveson Figueiredo,0,13 of 19,68%,21 of 27,1 of 5,20%,2,0,3:43,9 of 14,2 of 3,2 of 2,8 of 13,2 of 3,3 of 3
L,Cody Garbrandt,0,16 of 31,51%,18 of 33,0 of 0,---,0,0,0:02,6 of 19,0 of 1,10 of 11,16 of 31,0 of 0,0 of 0
